sorteo_id,fecha,num1,num2,num3,num4,num5,num6
327,2025-11-23,27,0,2,17,6,40
328,2025-11-23,36,40,30,4,41,6
329,2025-11-26,32,4,2,10,18,44
330,2025-11-26,26,33,21,24,35,8
331,2025-11-26,40,34,25,41,20,36
332,2025-11-26,34,27,16,18,45,11
333,2025-11-30,11,4,44,40,25,21
334,2025-11-30,41,16,24,8,14,22
335,2025-11-30,2,28,16,19,3,13
336,2025-11-30,44,13,22,40,39,36
337,2025-12-03,22,34,6,37,21,42
338,2025-12-03,3,2,19,38,12,27
339,2025-12-03,3,15,30,32,22,21
340,2025-12-03,27,36,1,31,42,7
341,2025-12-07,15,45,40,29,1,7
342,2025-12-07,29,31,45,4,34,16
343,2025-12-07,45,15,5,40,25,33
344,2025-12-07,5,29,43,14,33,17
345,2025-12-10,12,29,3,5,24,41
346,2025-12-10,24,8,22,32,12,19
347,2025-12-10,4,10,40,35,1,24
348,2025-12-10,5,36,41,11,43,7
349,2025-12-14,0,34,28,41,25,26
350,2025-12-14,17,35,8,43,29,28
351,2025-12-14,6,36,34,16,22,4
352,2025-12-14,40,2,13,43,31,32
353,2025-12-17,12,36,45,32,17,14
354,2025-12-17,30,0,18,31,25,45
355,2025-12-17,20,38,3,25,29,19
356,2025-12-17,14,39,8,35,32,31
357,2025-12-21,44,27,33,14,22,39
358,2025-12-21,7,31,3,44,39,24
359,2025-12-21,40,32,10,27,17,26
360,2025-12-21,19,22,41,17,6,29
361,2025-12-24,35,8,10,25,33,42
362,2025-12-24,40,33,22,14,29,42
363,2025-12-24,35,34,8,15,31,42
364,2025-12-24,43,31,6,30,13,24
365,2025-12-28,34,5,42,4,28,27
366,2025-12-28,3,16,38,45,42,6
367,2025-12-28,38,25,28,24,16,34
368,2025-12-28,35,25,7,15,41,13
369,2025-12-31,38,5,13,22,43,40
370,2025-12-31,36,44,28,13,32,12
371,2025-12-31,40,31,12,21,8,36
372,2025-12-31,36,1,15,28,39,21
373,2026-01-04,41,45,14,9,8,33
374,2026-01-04,41,44,14,16,10,32
375,2026-01-04,7,8,45,33,15,30
376,2026-01-04,6,45,23,19,31,24
377,2026-01-07,29,40,39,4,9,27
378,2026-01-07,32,17,11,26,20,29
379,2026-01-07,13,5,16,39,35,32
380,2026-01-07,12,33,36,30,7,19
381,2026-01-11,15,14,28,17,34,32
382,2026-01-11,4,45,10,1,22,6
383,2026-01-11,27,31,42,33,35,13
384,2026-01-11,6,7,17,4,19,35
385,2026-01-14,25,7,37,41,18,27
386,2026-01-14,41,1,35,16,22,24
387,2026-01-14,18,25,2,3,22,36
388,2026-01-14,7,41,26,33,36,19
389,2026-01-18,31,33,38,17,34,3
390,2026-01-18,37,19,40,26,14,30
391,2026-01-18,23,21,43,37,27,24
392,2026-01-18,20,13,4,29,9,5
393,2026-01-21,11,17,31,18,14,8
394,2026-01-21,42,1,20,32,7,21
395,2026-01-21,35,37,43,0,38,33
396,2026-01-21,8,6,40,31,33,27
397,2026-01-25,42,16,7,20,0,21
398,2026-01-25,38,22,33,32,10,15
399,2026-01-25,10,21,34,7,33,45
400,2026-01-25,12,40,13,18,38,10
401,2026-01-28,6,7,20,25,33,8
402,2026-01-28,0,9,27,14,1,12
403,2026-01-28,17,6,26,34,32,41
404,2026-01-28,44,41,28,40,45,21
405,2026-02-01,18,4,15,43,2,31
406,2026-02-01,16,42,27,12,25,35
407,2026-02-01,3,21,20,39,30,19
408,2026-02-01,9,43,31,42,30,45
409,2026-02-04,3,25,33,45,12,42
410,2026-02-04,24,39,13,6,23,26
411,2026-02-04,34,31,19,39,44,7
412,2026-02-04,31,33,26,22,28,34
413,2026-02-08,23,44,45,18,40,24
414,2026-02-08,2,0,38,13,12,25
415,2026-02-08,39,21,4,17,20,37
416,2026-02-08,23,4,32,37,38,7
417,2026-02-11,33,20,23,44,0,9
418,2026-02-11,43,8,21,36,29,20
419,2026-02-11,35,3,34,8,43,13
420,2026-02-11,28,8,23,20,45,27
421,2026-02-15,6,12,24,26,40,41
422,2026-02-15,3,17,21,34,38,43
423,2026-02-15,7,11,13,14,36,37
424,2026-02-15,4,7,12,22,26,39
425,2026-02-18,40,26,30,2,0,23
426,2026-02-18,4,17,15,22,11,25
427,2026-02-18,45,8,31,37,5,17
428,2026-02-18,14,2,10,9,28,38
429,2026-02-22,39,0,45,27,36,5
430,2026-02-22,23,12,11,22,44,37
431,2026-02-22,41,36,28,11,40,16
432,2026-02-22,9,25,35,5,18,16
433,2026-02-25,40,42,9,10,23,3
434,2026-02-25,9,21,7,27,2,17
435,2026-02-25,3,24,14,20,18,5
436,2026-02-25,40,41,20,22,27,6
437,2026-03-01,27,12,19,10,20,18
438,2026-03-01,14,43,29,17,19,32
439,2026-03-01,7,41,43,32,9,42
440,2026-03-01,14,13,30,33,44,25
441,2026-03-04,10,41,7,6,25,15
442,2026-03-04,13,11,15,19,12,25
443,2026-03-04,26,11,29,35,6,34
444,2026-03-04,31,1,17,5,14,38
